Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Once Upon a Time in the West;1968;48;8.4;tt0064116;movie;Once Upon a Time in the West;C'era una volta il West;0.0;1968.0;165;Western
Rear Window;1954;49;8.4;tt0047396;movie;Rear Window;Rear Window;0.0;1954.0;112;Mystery,Thriller
Alien;1979;50;8.4;tt0078748;movie;Alien;Alien;0.0;1979.0;117;Horror,Sci-Fi
City Lights;1931;51;8.4;tt0021749;movie;City Lights;City Lights;0.0;1931.0;87;Comedy,Drama,Romance
Cinema Paradiso;1988;52;8.4;tt0095765;movie;Cinema Paradiso;Nuovo Cinema Paradiso;0.0;1988.0;155;Drama,Romance
Apocalypse Now;1979;53;8.4;tt0078788;movie;Apocalypse Now;Apocalypse Now;0.0;1979.0;147;Drama,Mystery,War
Memento;2000;54;8.4;tt0209144;movie;Memento;Memento;0.0;2000.0;113;Mystery,Thriller
Indiana Jones and the Raiders of the Lost Ark;1981;55;8.4;tt0082971;movie;Indiana Jones and the Raiders of the Lost Ark;Raiders of the Lost Ark;0.0;1981.0;115;Action,Adventure
Django Unchained;2012;56;8.4;tt1853728;movie;Django Unchained;Django Unchained;0.0;2012.0;165;Drama,Western
WALL·E;2008;57;8.4;tt0910970;movie;WALL·E;WALL·E;0.0;2008.0;98;Adventure,Animation,Family
The Lives of Others;2006;58;8.4;tt0405094;movie;The Lives of Others;Das Leben der Anderen;0.0;2006.0;137;Drama,Mystery,Thriller
Sunset Blvd.;1950;59;8.4;tt0043014;movie;Sunset Blvd.;Sunset Blvd.;0.0;1950.0;110;Drama,Film-Noir
Top Gun: Maverick;2022;60;8.4;tt1745960;movie;Top Gun: Maverick;Top Gun: Maverick;0.0;2022.0;130;Action,Drama
Paths of Glory;1957;61;8.4;tt0050825;movie;Paths of Glory;Paths of Glory;0.0;1957.0;88;Drama,War
The Shining;1980;62;8.4;tt0081505;movie;The Shining;The Shining;0.0;1980.0;146;Drama,Horror
The Great Dictator;1940;63;8.4;tt0032553;movie;The Great Dictator;The Great Dictator;0.0;1940.0;125;Comedy,Drama,War
Witness for the Prosecution;1957;64;8.4;tt0051201;movie;Witness for the Prosecution;Witness for the Prosecution;0.0;1957.0;116;Crime,Drama,Mystery
Avengers: Infinity War;2018;65;8.4;tt4154756;movie;Avengers: Infinity War;Avengers: Infinity War;0.0;2018.0;149;Action,Adventure,Sci-Fi
Aliens;1986;66;8.3;tt0090605;movie;Aliens;Aliens;0.0;1986.0;137;Action,Adventure,Sci-Fi
American Beauty;1999;67;8.3;tt0169547;movie;American Beauty;American Beauty;0.0;1999.0;122;Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;68;8.3;tt0057012;movie;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;0.0;1964.0;95;Comedy,War
Spider-Man: Into the Spider-Verse;2018;69;8.3;tt4633694;movie;Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse;0.0;2018.0;117;Action,Adventure,Animation
The Dark Knight Rises;2012;70;8.3;tt1345836;movie;The Dark Knight Rises;The Dark Knight Rises;0.0;2012.0;164;Action,Drama
Oldboy;2003;71;8.3;tt0364569;movie;Oldboy;Oldeuboi;0.0;2003.0;120;Action,Drama,Mystery
Joker;2019;72;8.3;tt7286456;movie;Joker;Joker;0.0;2019.0;122;Crime,Drama,Thriller
Amadeus;1984;73;8.3;tt0086879;movie;Amadeus;Amadeus;0.0;1984.0;160;Biography,Drama,Music
