Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Monsters, Inc.;2001;205;8.1;tt0198781;movie;Monsters, Inc.;Monsters, Inc.;0.0;2001.0;92;Adventure,Animation,Comedy
Jaws;1975;206;8.1;tt0073195;movie;Jaws;Jaws;0.0;1975.0;124;Adventure,Thriller
Dead Poets Society;1989;207;8.1;tt0097165;movie;Dead Poets Society;Dead Poets Society;0.0;1989.0;128;Comedy,Drama
Tokyo Story;1953;208;8.1;tt0046438;movie;Tokyo Story;Tôkyô monogatari;0.0;1953.0;136;Drama
The Passion of Joan of Arc;1928;209;8.1;tt0019254;movie;The Passion of Joan of Arc;La passion de Jeanne d'Arc;0.0;1928.0;110;Biography,Drama,History
Hotel Rwanda;2004;210;8.1;tt0395169;movie;Hotel Rwanda;Hotel Rwanda;0.0;2004.0;121;Biography,Drama,History
Rocky;1976;211;8.0;tt0075148;movie;Rocky;Rocky;0.0;1976.0;120;Drama,Sport
Ford v Ferrari;2019;212;8.0;tt1950186;movie;Ford v Ferrari;Ford v Ferrari;0.0;2019.0;152;Action,Biography,Drama
Platoon;1986;213;8.0;tt0091763;movie;Platoon;Platoon;0.0;1986.0;120;Drama,War
Pather Panchali;1955;214;8.0;tt0048473;movie;Pather Panchali;Pather Panchali;0.0;1955.0;125;Drama
Stand by Me;1986;215;8.0;tt0092005;movie;Stand by Me;Stand by Me;0.0;1986.0;89;Adventure,Drama
The Terminator;1984;216;8.0;tt0088247;movie;The Terminator;The Terminator;0.0;1984.0;107;Action,Sci-Fi
Spotlight;2015;217;8.0;tt1895587;movie;Spotlight;Spotlight;0.0;2015.0;129;Biography,Crime,Drama
Rush;2013;218;8.0;tt1979320;movie;Rush;Rush;0.0;2013.0;123;Action,Biography,Drama
Logan;2017;219;8.0;tt3315342;movie;Logan;Logan;0.0;2017.0;137;Action,Drama,Sci-Fi
Network;1976;220;8.0;tt0074958;movie;Network;Network;0.0;1976.0;121;Drama
Ratatouille;2007;221;8.0;tt0382932;movie;Ratatouille;Ratatouille;0.0;2007.0;111;Adventure,Animation,Comedy
Into the Wild;2007;222;8.0;tt0758758;movie;Into the Wild;Into the Wild;0.0;2007.0;148;Adventure,Biography,Drama
The Wizard of Oz;1939;223;8.0;tt0032138;movie;The Wizard of Oz;The Wizard of Oz;0.0;1939.0;102;Adventure,Family,Fantasy
Groundhog Day;1993;224;8.0;tt0107048;movie;Groundhog Day;Groundhog Day;0.0;1993.0;101;Comedy,Drama,Fantasy
Before Sunset;2004;225;8.0;tt0381681;movie;Before Sunset;Before Sunset;0.0;2004.0;80;Drama,Romance
The Exorcist;1973;226;8.0;tt0070047;movie;The Exorcist;The Exorcist;0.0;1973.0;122;Horror
The Best Years of Our Lives;1946;227;8.0;tt0036868;movie;The Best Years of Our Lives;The Best Years of Our Lives;0.0;1946.0;170;Drama,Romance,War
The Incredibles;2004;228;8.0;tt0317705;movie;The Incredibles;The Incredibles;0.0;2004.0;115;Action,Adventure,Animation
To Be or Not to Be;1942;229;8.0;tt0035446;movie;To Be or Not to Be;To Be or Not to Be;0.0;1942.0;99;Comedy,Romance,War
The Grapes of Wrath;1940;230;8.0;tt0032551;movie;The Grapes of Wrath;The Grapes of Wrath;0.0;1940.0;129;Drama
The Battle of Algiers;1966;231;8.0;tt0058946;movie;The Battle of Algiers;La battaglia di Algeri;0.0;1966.0;121;Drama,War
Rebecca;1940;232;8.0;tt0032976;movie;Rebecca;Rebecca;0.0;1940.0;130;Drama,Film-Noir,Mystery
Hachi: A Dog's Tale;2009;233;8.0;tt1028532;movie;Hachi: A Dog's Tale;Hachi: A Dog's Tale;0.0;2009.0;93;Biography,Drama,Family
Cool Hand Luke;1967;234;8.0;tt0061512;movie;Cool Hand Luke;Cool Hand Luke;0.0;1967.0;127;Crime,Drama
Amores perros;2000;235;8.0;tt0245712;movie;Amores perros;Amores perros;0.0;2000.0;154;Drama,Thriller
Pirates of the Caribbean: The Curse of the Black Pearl;2003;236;8.0;tt0325980;movie;Pirates of the Caribbean: The Curse of the Black Pearl;Pirates of the Caribbean: The Curse of the Black Pearl;0.0;2003.0;143;Action,Adventure,Fantasy
La Haine;1995;237;8.0;tt0113247;movie;La Haine;La haine;0.0;1995.0;98;Crime,Drama
My Father and My Son;2005;238;8.0;tt0476735;movie;My Father and My Son;Babam ve Oglum;0.0;2005.0;112;Drama,Family
The 400 Blows;1959;239;8.0;tt0053198;movie;The 400 Blows;Les quatre cents coups;0.0;1959.0;99;Crime,Drama
It Happened One Night;1934;240;8.0;tt0025316;movie;It Happened One Night;It Happened One Night;0.0;1934.0;105;Comedy,Romance
Persona;1966;241;8.0;tt0060827;movie;Persona;Persona;0.0;1966.0;85;Drama,Thriller
The Sound of Music;1965;242;8.0;tt0059742;movie;The Sound of Music;The Sound of Music;0.0;1965.0;172;Biography,Drama,Family
Life of Brian;1979;243;8.0;tt0079470;movie;Life of Brian;Life of Brian;0.0;1979.0;94;Comedy
The Handmaiden;2016;244;8.0;tt4016934;movie;The Handmaiden;Ah-ga-ssi;0.0;2016.0;145;Drama,Romance,Thriller
Dersu Uzala;1975;245;8.0;tt0071411;movie;Dersu Uzala;Dersu Uzala;0.0;1975.0;142;Adventure,Biography,Drama
Jai Bhim;2021;246;8.0;tt15097216;movie;Jai Bhim;Jai Bhim;0.0;2021.0;164;Crime,Drama,Mystery
Aladdin;1992;247;8.0;tt0103639;movie;Aladdin;Aladdin;0.0;1992.0;90;Adventure,Animation,Comedy
Gandhi;1982;248;8.0;tt0083987;movie;Gandhi;Gandhi;0.0;1982.0;191;Biography,Drama
The Help;2011;249;8.0;tt1454029;movie;The Help;The Help;0.0;2011.0;146;Drama
The Iron Giant;1999;250;8.0;tt0129167;movie;The Iron Giant;The Iron Giant;0.0;1999.0;86;Action,Adventure,Animation
